L7_lognormal_9,L7_lognormal_8,L7_lognormal_10,L7_lognormal_24,L7_lognormal_7,L7_lognormal_20,L7_lognormal_14,L7_lognormal_3,L7_lognormal_21,L7_lognormal_15,L7_lognormal_2,L7_lognormal_11,L7_lognormal_25,L7_lognormal_6,L7_lognormal_22,L7_lognormal_16,L7_lognormal_1,L7_lognormal_12,L7_lognormal_26,L7_lognormal_5,L7_lognormal_13,L7_lognormal_27,L7_lognormal_4,L7_lognormal_23,L7_lognormal_17,L7_lognormal_0,L7_lognormal_28,L7_lognormal_18,L7_lognormal_19,L7_lognormal_29
8.059012841957156,4.935659000999294,4.419586889969651,4.3114979160018265,4.046992943971418,5.355317997979,4.223893060989212,4.122255321999546,4.385465103026945,4.517417744034901,4.179933638020884,4.326400090998504,4.679561197990552,4.516924895986449,4.28967697796179,4.218692320981063,4.534057532029692,4.506378871039487,4.360159973031841,4.699682310980279,4.150277549983002,4.8810697659500875,4.351070905977394,4.793035236012656,4.019591322983615,4.611870878026821,4.299532786011696,4.516799163015094,4.766335408960003,4.167418640980031
8.589459551963955,5.3194781029596925,4.793149220990017,4.63696075003827,4.339533940015826,5.8244448339683,4.529067982977722,4.491643082990777,4.776262847997714,4.871318054036237,4.556475514022168,4.731265117006842,5.053632244002074,4.953152137983125,4.635616782004945,4.552204855019227,4.95956838602433,5.000533868034836,4.719310543034226,5.090642735012807,4.495984131994192,5.24974304594798,4.759006495005451,5.212249196018092,4.310232712014113,4.973672812979203,4.68751015100861,4.87611181900138,5.157434596971143,4.505716508021578
9.136664234974887,5.717232330003753,5.110885878966656,5.032446907018311,4.758176547999028,6.262003240000922,4.883372469979804,4.8094851519563235,5.196094247046858,5.242293196031824,4.919739288045093,5.165991039015353,5.450040268013254,5.433753610996064,5.0303106409846805,4.947095913987141,5.363340315991081,5.380602227000054,5.093980206991546,5.449717947980389,4.830317366984673,5.691710938990582,5.086510412977077,5.663517387001775,4.644995356968138,5.364297553023789,5.113435285049491,5.248261536995415,5.546880854992196,4.8573362760362215
9.60286763095064,6.110564929957036,5.469894667970948,5.338945172028616,5.137957033992279,6.707922141009476,5.2313345649745315,5.171749968954828,5.568253519013524,5.6154170880327,5.228158289042767,5.521869013027754,5.871849032002501,5.774154024955351,5.404390428971965,5.301498565997463,5.726124866981991,5.762713108037133,5.455326260998845,5.864949805021752,5.154902420996223,6.15829443797702,5.4323882040334865,6.058845936029684,4.993083462002687,5.75875677797012,5.433988911041524,5.604976358008571,5.875476069981232,5.311819722992368
9.991890832956415,6.515944697952364,5.843122026999481,5.6766712089884095,5.504011960001662,7.158919433015399,5.544273445964791,5.548971187963616,5.94862468802603,5.984132801007945,5.574397896998562,5.927770217007492,6.278334004979115,6.271341663959902,5.737538521992974,5.610725515987724,6.191621671023313,6.219814504031092,5.826539512025192,6.303343018982559,5.514699216990266,6.5614966719876975,5.805553379992489,6.511107299011201,5.3346014830167405,6.19112164399121,5.786086399049964,5.936666855996009,6.291369467973709,5.68860621098429
10.523383364954498,6.926488612953108,6.217086001997814,6.055268411000725,5.8052159009967,7.569193032977637,5.934822950977832,5.868085595953744,6.318583343003411,6.365948004997335,6.026085173012689,6.334603305032942,6.764270059997216,6.677271758962888,6.106184261967428,5.965136106009595,6.596676625020336,6.685180336004123,6.231797070009634,6.708526598988101,5.862796003988478,6.994891997950617,6.169680933991913,6.889938398031518,5.625203346018679,6.537871273991186,6.162974656035658,6.347223435994238,6.683912992011756,6.00418302603066
10.949560642999131,7.305187961959746,6.568793575977907,6.371995049004909,6.14005804999033,8.011016317002941,6.277839034970384,6.231258881976828,6.643565685022622,6.771810432022903,6.379412492038682,6.68886246602051,7.190988071961328,7.086515076982323,6.449494044005405,6.310582877020352,7.008416828000918,7.057474303001072,6.628646427008789,7.095053758006543,6.145739641971886,7.341096259944607,6.512874238018412,7.2719988219905645,6.028513716999441,6.921660614025313,6.483165936020669,6.727280717983376,7.057502157986164,6.390477521985304
11.410644621995743,7.720574042003136,6.950068295991514,6.734666017000563,6.480690757976845,8.57147447601892,6.5982806800166145,6.575411583995447,7.049194296996575,7.1454812529846095,6.786277839040849,7.038138234987855,7.621199000976048,7.459878713008948,6.841148361971136,6.615684675984085,7.4644243469811045,7.52479159401264,6.949763145996258,7.465278582996689,6.489378668018617,7.7361261859769,6.8451689460198395,7.726844003016595,6.395887047983706,7.32252011197852,6.847158985037822,7.0476184579893015,7.458180640009232,6.737289689015597
11.893434095953126,8.121492057980504,7.3630990499514155,7.07041714299703,6.818298787984531,9.077761273016222,6.930672217975371,6.892401657998562,7.391599718015641,7.565460771031212,7.138896732998546,7.457576251996215,8.069034410000313,7.827473949990235,7.256128376990091,6.963564510981087,7.790164940990508,7.93068965699058,7.383633346005809,7.86884553800337,6.843321882013697,8.161338197998703,7.170235912024509,8.182714633992873,6.723945295962039,7.699793032021262,7.220906635047868,7.405903059989214,7.857010094972793,7.062513625016436
12.323119285982102,8.500801712973043,7.739095432974864,7.421866049990058,7.1439126919722185,9.540613451972604,7.304703208967112,7.251333019987214,7.732180160994176,7.968098390032537,7.496771080011968,7.802265732025262,8.47092467197217,8.238240177975968,7.586215872957837,7.320770010992419,8.170588004984893,8.31061987002613,7.726569649006706,8.25147607998224,7.151585639978293,8.47023968398571,7.503827120002825,8.618012788007036,7.142540305969305,8.104440370982047,7.551627820997965,7.801940248988103,8.189333193993662,7.441061941033695
