L7_lognormal_9,L7_lognormal_8,L7_lognormal_10,L7_lognormal_24,L7_lognormal_7,L7_lognormal_20,L7_lognormal_14,L7_lognormal_3,L7_lognormal_21,L7_lognormal_15,L7_lognormal_2,L7_lognormal_11,L7_lognormal_25,L7_lognormal_6,L7_lognormal_22,L7_lognormal_16,L7_lognormal_1,L7_lognormal_12,L7_lognormal_26,L7_lognormal_5,L7_lognormal_13,L7_lognormal_27,L7_lognormal_4,L7_lognormal_23,L7_lognormal_17,L7_lognormal_0,L7_lognormal_28,L7_lognormal_18,L7_lognormal_19,L7_lognormal_29
331819223147061.0,288483322283491.0,6.2081335536988776e+16,804236856968410.0,1951892915345782.0,2220497496732750.0,65102518000897.0,325298958759513.0,14782848701149.0,4.131048642214869e+16,2723459851372200.0,128816949364332.0,1195667506958327.0,58763160734953.0,67868120131233.0,97846784291643.0,21079828789195.0,7251753330843.0,2609024488978.0,30119625203412.0,3936183791376140.0,252057495423740.0,3470309984490282.0,154594624690286.0,335993359361080.0,2201248652318952.0,104940588858193.0,2185060498279337.0,3643802687087.0,16417302161495.0
331819223147061.0,288483322283491.0,6.2081335536988776e+16,804236856968410.0,1951892915345782.0,2220497496732750.0,65102518000897.0,325298958759513.0,14782848701149.0,4.131048642214869e+16,2705401183165846.0,128816949364332.0,1195667506958327.0,58763160734953.0,53935236461652.0,28378204704815.0,21079828789195.0,7251753330843.0,2609024488978.0,30119625203412.0,2072993053242542.0,252057495423740.0,3470309984490282.0,154594624690286.0,335993359361080.0,2201248652318952.0,104940588858193.0,2185060498279337.0,3643802687087.0,16417302161495.0
331819223147061.0,288483322283491.0,6.2081335536988776e+16,804236856968410.0,1951892915345782.0,2220497496732750.0,65102518000897.0,325298958759513.0,14782848701149.0,4.131048642214869e+16,2705401183165846.0,128816949364332.0,1195667506958327.0,58763160734953.0,53935236461652.0,28378204704815.0,21079828789195.0,7251753330843.0,2609024488978.0,30119625203412.0,2072993053242542.0,217479242831672.0,3470309984490282.0,154594624690286.0,335993359361080.0,2201248652318952.0,104940588858193.0,2185060498279337.0,3643802687087.0,16417302161495.0
331819223147061.0,288483322283491.0,6.2081335536988776e+16,804236856968410.0,1951892915345782.0,2220497496732750.0,65102518000897.0,325298958759513.0,14782848701149.0,4.131048642214869e+16,632948601471240.0,128816949364332.0,1195667506958327.0,58763160734953.0,53935236461652.0,28378204704815.0,19834534170567.0,7251753330843.0,1957974980068.0,30119625203412.0,2072993053242542.0,217479242831672.0,3470309984490282.0,154594624690286.0,335993359361080.0,2201248652318952.0,104940588858193.0,2185060498279337.0,3643802687087.0,15592918652722.0
331819223147061.0,288483322283491.0,6.2081335536988776e+16,804236856968410.0,1951892915345782.0,2220497496732750.0,65102518000897.0,325298958759513.0,14782848701149.0,4.131048642214869e+16,632948601471240.0,128816949364332.0,1195667506958327.0,58763160734953.0,53935236461652.0,28378204704815.0,19834534170567.0,7251753330843.0,1957974980068.0,30119625203412.0,2072993053242542.0,217479242831672.0,3470309984490282.0,154594624690286.0,335993359361080.0,2201248652318952.0,104940588858193.0,2185060498279337.0,3643802687087.0,14839416811308.0
331819223147061.0,288483322283491.0,6.2081335536988776e+16,804236856968410.0,1951892915345782.0,2220497496732750.0,65102518000897.0,325298958759513.0,14782848701149.0,4.131048642214869e+16,632948601471240.0,128816949364332.0,1195667506958327.0,58763160734953.0,53935236461652.0,28378204704815.0,19834534170567.0,7251753330843.0,1957974980068.0,30119625203412.0,2072993053242542.0,217479242831672.0,3470309984490282.0,154594624690286.0,335993359361080.0,2201248652318952.0,104940588858193.0,2185060498279337.0,3643802687087.0,14839416811308.0
331819223147061.0,288483322283491.0,6.2081335536988776e+16,804236856968410.0,1951892915345782.0,2220497496732750.0,65102518000897.0,325298958759513.0,14782848701149.0,3.693460313666155e+16,632948601471240.0,128816949364332.0,1195667506958327.0,58763160734953.0,53935236461652.0,28378204704815.0,19834534170567.0,7251753330843.0,1957974980068.0,30119625203412.0,2072993053242542.0,217479242831672.0,3470309984490282.0,154594624690286.0,335993359361080.0,2201248652318952.0,104940588858193.0,2185060498279337.0,3643802687087.0,14839416811308.0
331819223147061.0,288483322283491.0,5.1751050264841096e+16,804236856968410.0,1951892915345782.0,2220497496732750.0,65102518000897.0,203847756164709.0,14782848701149.0,3.693460313666155e+16,632948601471240.0,128816949364332.0,1195667506958327.0,58763160734953.0,53935236461652.0,28378204704815.0,14759884370706.0,7251753330843.0,1957974980068.0,30119625203412.0,2072993053242542.0,217479242831672.0,3470309984490282.0,154594624690286.0,335993359361080.0,2201248652318952.0,104940588858193.0,2185060498279337.0,3643802687087.0,14839416811308.0
331819223147061.0,288483322283491.0,5.1751050264841096e+16,804236856968410.0,1951892915345782.0,2220497496732750.0,65102518000897.0,203847756164709.0,14782848701149.0,3.693460313666155e+16,632948601471240.0,121135199988820.0,1195667506958327.0,58763160734953.0,53935236461652.0,28378204704815.0,14759884370706.0,7251753330843.0,1957974980068.0,30119625203412.0,2072993053242542.0,217479242831672.0,3470309984490282.0,154594624690286.0,335993359361080.0,2201248652318952.0,104940588858193.0,2185060498279337.0,3277849562632.0,14839416811308.0
331819223147061.0,288483322283491.0,5.1751050264841096e+16,804236856968410.0,1951892915345782.0,2220497496732750.0,65102518000897.0,203847756164709.0,14782848701149.0,3.693460313666155e+16,632948601471240.0,121135199988820.0,1195667506958327.0,58763160734953.0,53935236461652.0,28378204704815.0,14759884370706.0,7251753330843.0,1957974980068.0,30119625203412.0,2072993053242542.0,217479242831672.0,3470309984490282.0,154594624690286.0,335993359361080.0,2201248652318952.0,104940588858193.0,2185060498279337.0,3277849562632.0,14839416811308.0
